"주택유형별(1)","지역별(1)",지역별(2),지역별(3),지역별(4),2025.11,2025.12,2026.01,2026.02,2026.03,2026.04
"아파트","경남",양산,소계,소계,73.34082447,73.86414707,74.51787901,74.89038557,74.94089034,75.0938989
"아파트","경기",경원권,동두천,소계,73.26287081,73.46944679,73.67527424,73.69921851,73.70455028,73.74137963
"아파트","부산",서부산권,사하,소계,73.25442575,73.6092305,73.9249896,74.14700816,74.50716196,74.71586618
"아파트","경기",경의권,파주,소계,73.24709197,73.43636149,73.70015931,74.00029374,74.46462596,74.79371714
"아파트","강원",태백,소계,소계,73.21431737,72.66440195,72.72971748,72.62061365,72.71155249,72.85402458
"아파트","강원",속초,소계,소계,73.19437124,73.65307325,73.94077004,73.9892798,73.96249269,74.02149058
"아파트","전남",나주,소계,소계,73.16122957,73.24635697,73.2911699,73.34187813,73.54501684,73.9620922
"아파트","충남",공주,소계,소계,73.01299484,73.07928114,73.0155829,73.03258638,73.2028635,73.1671161
"아파트","경기",동부1권,광주,소계,72.91513823,73.24672032,73.28705963,73.55032895,74.03761646,74.2564271
"아파트","인천",미추홀,소계,소계,72.86952162,72.88416465,72.9133939,73.0102258,73.08880777,73.2944275
"아파트","광주",동,소계,소계,72.83390202,73.05656743,73.27701172,73.53060539,73.88294851,74.44136941
"아파트","경남",창원,성산,소계,72.54646611,72.35190255,72.44126982,72.11066429,71.69014644,71.28042345
"종합","광주",소계,소계,소계,72.51468588,72.56849747,72.66825364,73.21110994,73.38774402,73.64790583
"아파트","강원",동해,소계,소계,72.45279711,72.13822558,71.95903719,71.81033192,71.82594755,71.797786
"아파트","대구",달성,소계,소계,72.43619919,72.44588538,72.5125193,72.74031829,72.94557662,73.25944445
"아파트","광주",남,소계,소계,72.38738545,72.3807468,72.54170553,72.74688778,73.18330186,73.75881982
"연립다세대","충남",소계,소계,소계,72.37282572,72.46445423,72.53053816,72.46425443,72.49783305,72.53999878
"연립다세대","경기",경원권,소계,소계,72.33833897,72.57615974,72.69845877,72.84737628,72.98380148,73.14352554
"아파트","경기",동부1권,남양주,소계,72.23197783,72.36475797,72.44595065,72.45562996,72.73166694,73.03414568
"아파트","대전",대덕,소계,소계,72.15803903,72.28875794,72.42797396,72.48867971,72.63480292,72.73073385
"아파트","전남",여수,소계,소계,72.12858214,72.10741237,72.23204701,72.53583211,73.38022646,73.89685387
"아파트","충남",논산,소계,소계,71.98556916,71.89486109,71.87529512,71.77001566,71.66433704,71.55867144
"아파트","충북",음성,소계,소계,71.95552999,72.06979982,72.20504813,72.28989488,72.56654125,72.76714342
"아파트","부산",중부산권,서,소계,71.92084447,72.11821346,72.37309151,72.63397806,72.90580709,73.19188182
"아파트","경북",영주,소계,소계,71.90419693,71.90546565,71.91823482,71.91434445,71.7584768,71.71111826
"아파트","경북",안동,소계,소계,71.89132964,71.52774681,72.00337843,71.50653231,71.49271153,71.47076836
"아파트","경기",경의권,고양,일산서,71.83917714,72.18554338,72.35380453,72.5436297,72.86068847,73.17905491
"아파트","9개도",소계,소계,소계,71.7810312,71.83673733,71.92834868,72.01152843,72.14503581,72.28399105
"아파트","부산",중부산권,부산진,소계,71.71598397,71.77234265,71.77176069,72.01867625,72.23847891,72.31827662
"아파트","대전",동,소계,소계,71.70778082,71.8995246,72.14500995,72.25420909,72.60334786,72.96252472
"연립다세대","경기",경의권,소계,소계,71.56275769,71.58388575,71.68598939,71.6916291,71.82888162,72.02117578
"아파트","경기",서해안권,평택,소계,71.54728585,71.93670002,72.63901165,73.38721844,74.08247286,74.76784771
"아파트","경기",서해안권,오산,소계,71.54067617,71.40578223,71.34828974,71.43800575,71.72417956,71.92061281
"연립다세대","인천",소계,소계,소계,71.47603154,71.49694856,71.45725482,71.46505241,71.48389535,71.5773283
"아파트","울산",중,소계,소계,71.43322639,71.40944828,71.39998644,71.33829461,71.42596215,71.43748137
"아파트","대구",달서,소계,소계,71.41886715,71.6675097,71.9884979,72.31248071,72.64214326,72.86555516
